"SKU","UPC","DESCRIPTION","STYLE","COLOR","SIZE","WHOLESALE_PRICE","DISCONTINUED","CLEARANCE","QTY_AVAILABLE","REPLENISH_DATE"
"44129X-2X","840295143255","MESH & EMBROIDERED BABYDOLL","44129X","WHITE","2X","15.95","No","No","167","07/25/22"
"44129X-3X","840295143262","MESH & EMBROIDERED BABYDOLL","44129X","WHITE","3X","15.95","No","No","184",""
"44129-L","840295143231","MESH & EMBROIDERED BABYDOLL","44129","WHITE","L","14.95","No","No","154",""
"44129-M","840295143224","MESH & EMBROIDERED BABYDOLL","44129","WHITE","M","14.95","No","No","146","01/15/22"
"44129-S","840295143217","MESH & EMBROIDERED BABYDOLL","44129","WHITE","S","14.95","No","No","134",""
"44131X-1XSALE","840295145723","BABYDOLL & G-STRING","44131X","BLACK/SILVER","1X","8.47","Yes","No","0",""
"44131X-2XSALE","840295145730","BABYDOLL & G-STRING","44131X","BLACK/SILVER","2X","8.47","Yes","No","0",""
"44131X-3XSALE","840295145747","BABYDOLL & G-STRING","44131X","BLACK/SILVER","3X","8.47","Yes","No","0",""
"44131-LSALE","840295145716","BABYDOLL & G-STRING","44131","BLACK/SILVER","L","7.97","Yes","No","75",""
"44131-MSALE","840295145709","BABYDOLL & G-STRING","44131","BLACK/SILVER","M","7.97","Yes","No","55","08/09/22"
"44131-SSALE","840295145693","BABYDOLL & G-STRING","44131","BLACK/SILVER","S","7.97","Yes","No","84","08/09/22"
"44133-L","840295146010","BABYDOLL & G-STRING","44133","RED","L","13.95","Yes","No","41",""
"44133-M","840295146003","BABYDOLL & G-STRING","44133","RED","M","13.95","Yes","No","0","08/09/22"
"44133-S","840295145990","BABYDOLL & G-STRING","44133","RED","S","13.95","Yes","No","26",""
"44137X-1X","840295149189","LACE BABYDOLL & G-STRING","44137X","RED","1X","12.95","No","No","171",""
"44137X-2X","840295149196","LACE BABYDOLL & G-STRING","44137X","RED","2X","12.95","No","No","202",""
"44137X-3X","840295149207","LACE BABYDOLL & G-STRING","44137X","RED","3X","12.95","No","No","158",""
"44137-L","840295149172","LACE BABYDOLL & G-STRING","44137","RED","L","11.95","No","No","141",""
"44137-M","840295149165","LACE BABYDOLL & G-STRING","44137","RED","M","11.95","No","No","116","08/15/23"
"44137-S","840295149158","LACE BABYDOLL & G-STRING","44137","RED","S","11.95","No","No","135","08/15/23"
"44140-L","840295149233","BABYDOLL & G-STRING","44140","RED","L","13.95","No","No","42",""
"44140-M","840295149226","BABYDOLL & G-STRING","44140","RED","M","13.95","No","No","21","08/15/23"
"44140-S","840295149219","BABYDOLL & G-STRING","44140","RED","S","13.95","No","No","63",""
"44140-XL","840295149240","BABYDOLL & G-STRING","44140","RED","XL","13.95","No","No","67",""
"44147-L","840295146881","BABYDOLL & G-STRING","44147","ANGEL BLUE","L","14.95","No","No","133",""
"44147-M","840295146874","BABYDOLL & G-STRING","44147","ANGEL BLUE","M","14.95","No","No","121","01/15/23"
"44147-S","840295146867","BABYDOLL & G-STRING","44147","ANGEL BLUE","S","14.95","No","No","126","01/15/23"
"44147-XL","840295146898","BABYDOLL & G-STRING","44147","ANGEL BLUE","XL","14.95","No","No","114",""
"44148-LSALE","840295146294","BABYDOLL & G-STRING","44148","DARK PURPLE","L","7.97","Yes","No","111",""
"44148-MSALE","840295146287","BABYDOLL & G-STRING","44148","DARK PURPLE","M","7.97","Yes","No","79","08/09/22"
"44148-SSALE","840295146270","BABYDOLL & G-STRING","44148","DARK PURPLE","S","7.97","Yes","No","121",""
"44148-XLSALE","840295146300","BABYDOLL & G-STRING","44148","DARK PURPLE","XL","7.97","Yes","No","107",""
"44152-L","840295147321","LACE & MESH BABYDOLL W/ G-STRI","44152","MINT GREEN","L","12.95","No","No","55",""
"44152-M","840295147314","LACE & MESH BABYDOLL W/ G-STRI","44152","MINT GREEN","M","12.95","No","No","54","01/15/23"
"44152-S","840295147307","LACE & MESH BABYDOLL W/ G-STRI","44152","MINT GREEN","S","12.95","No","No","55",""
"44152-XL","840295147338","LACE & MESH BABYDOLL W/ G-STRI","44152","MINT GREEN","XL","12.95","No","No","47",""
"44156-L","840295147048","LACE BABYDOLL & G-STRING","44156","COTTON CANDY","L","13.95","No","No","0",""
"44156-M","840295147031","LACE BABYDOLL & G-STRING","44156","COTTON CANDY","M","13.95","No","No","0","01/15/23"
"44156-S","840295147046","LACE BABYDOLL & G-STRING","44156","COTTON CANDY","S","13.95","No","No","0",""
